Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
69901,ROCKSPRINGS ISD ,69.6,100,1.1
69902,NUECES CANYON CISD ,75.2,100,0
70801,WAXAHACHIE FAITH FAMILY ACADEMY ,99.1,97.1,0.1
70901,AVALON ISD ,50.3,100,0
70903,ENNIS ISD ,63.5,95.2,0.2
70905,FERRIS ISD ,81.3,94.4,0.6
70907,ITALY ISD ,59.9,97.4,0.5
70908,MIDLOTHIAN ISD ,25.2,94.2,0.5
70909,MILFORD ISD ,71,87.5,1.1
70910,PALMER ISD ,54.5,96.6,0.6
70911,RED OAK ISD ,47.9,97.4,0.7
70912,WAXAHACHIE ISD ,45.9,93.7,1
70915,MAYPEARL ISD ,39.4,96.5,1
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI ,35.1,96.6,0
71803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS ,87.9,67.2,0.3
71804,EL PASO ACADEMY ,74.2,58.5,9.5
71806,HARMONY SCIENCE ACAD (EL PASO) ,72.6,99.3,0.1
71807,LA FE PREPARATORY SCHOOL ,98.3,,
71809,VISTA DEL FUTURO CHARTER SCHOOL ,53.8,,
71810,EL PASO LEADERSHIP ACADEMY ,89,,
71901,CLINT ISD ,85.9,93.4,1.2
71902,EL PASO ISD ,74.5,88.8,1.6
71903,FABENS ISD ,91.3,83.2,1.5
71904,SAN ELIZARIO ISD ,90.9,86.4,1.9
71905,YSLETA ISD ,77.4,89.8,1.6
71906,ANTHONY ISD ,64.5,88.3,0.4
71907,CANUTILLO ISD ,63.1,92.1,0.7
71908,TORNILLO ISD ,94.4,91.3,1.2
71909,SOCORRO ISD ,69.7,93.7,1
72801,PREMIER HIGH SCHOOLS ,60.4,51.2,3.6
72802,ERATH EXCELS ACADEMY INC ,100,62.1,6.4
72901,THREE WAY ISD ,74.4,,0
72902,DUBLIN ISD ,70.7,100,0.3
72903,STEPHENVILLE ISD ,48.6,97.6,0.1
72904,BLUFF DALE ISD ,30.5,,0
72908,HUCKABAY ISD ,23,100,0
72909,LINGLEVILLE ISD ,52.5,100,0
72910,MORGAN MILL ISD ,28.7,,
73901,CHILTON ISD ,90.5,96.9,0
73903,MARLIN ISD ,95.1,93.6,1.4
73904,WESTPHALIA ISD ,15.1,,
73905,ROSEBUD-LOTT ISD ,65.4,96.2,0.8
74903,BONHAM ISD ,69.1,96.3,0.7
74904,DODD CITY ISD ,35.4,95.8,0
74905,ECTOR ISD ,55.1,95.8,0
74907,HONEY GROVE ISD ,52.6,100,0
74909,LEONARD ISD ,48.9,100,0
74911,SAVOY ISD ,42.9,100,0
74912,TRENTON ISD ,37.1,89.7,0
74917,SAM RAYBURN ISD ,45.4,96.8,0
75901,FLATONIA ISD ,48.5,100,0
75902,LA GRANGE ISD ,52.8,96.6,0.8
75903,SCHULENBURG ISD ,63,98.3,0.4
75906,FAYETTEVILLE ISD ,39.1,100,0
75908,ROUND TOP-CARMINE ISD ,40,95.5,0
76903,ROBY CISD ,48.6,100,0
76904,ROTAN ISD ,65.5,87,2.7
77901,FLOYDADA ISD ,75.3,100,0
77902,LOCKNEY ISD ,81.3,96,0.7
78901,CROWELL ISD ,75.2,100,0
79901,LAMAR CISD ,50.5,95.5,0.5
79906,NEEDVILLE ISD ,38.9,99.2,0
79907,FORT BEND ISD ,42.3,94.7,1
79910,STAFFORD MSD ,70.1,95.2,0.9
80901,MOUNT VERNON ISD ,59,99.2,0.6
81902,FAIRFIELD ISD ,63.6,97.7,0.6
81904,TEAGUE ISD ,60.9,100,0.2
81905,WORTHAM ISD ,63.4,100,0.7
81906,DEW ISD ,59.1,,
82902,DILLEY ISD ,81.9,93.3,0.7
82903,PEARSALL ISD ,83.5,98.7,0.3
83901,SEAGRAVES ISD ,78.6,97.7,0.6
83902,LOOP ISD ,61.8,100,0
83903,SEMINOLE ISD ,57.3,95.8,0.5
84802,ODYSSEY ACADEMY INC ,73.6,100,0
84804,AMBASSADORS PREPARATORY ACADEMY ,100,,
84901,DICKINSON ISD ,67.3,92.3,0.9
84902,GALVESTON ISD ,78.4,88.5,3.5
84903,HIGH ISLAND ISD ,65.9,100,0
84906,TEXAS CITY ISD ,86.6,88.4,1.8
84908,HITCHCOCK ISD ,78.7,96.3,0.7
84909,SANTA FE ISD ,49.9,91.8,1.4
84910,CLEAR CREEK ISD ,28,97.4,0.2
84911,FRIENDSWOOD ISD ,11.1,99.6,0
85902,POST ISD ,71.9,97.7,0
85903,SOUTHLAND ISD ,70.9,88.9,0
86024,DOSS CONSOLIDATED CSD ,0,,
86901,FREDERICKSBURG ISD ,51.9,97.9,0.4
86902,HARPER ISD ,36,100,0.6
87901,GLASSCOCK COUNTY ISD ,28.1,100,0
88902,GOLIAD ISD ,50,99,1
89901,GONZALES ISD ,74.3,95.5,1.3
89903,NIXON-SMILEY CISD ,83.6,98.4,0.3
89905,WAELDER ISD ,95.6,92,2.4
90902,LEFORS ISD ,56.3,100,0
90903,MCLEAN ISD ,63.5,89.5,0
90904,PAMPA ISD ,62.3,90.6,0.7
90905,GRANDVIEW-HOPKINS ISD ,36.8,,
91901,BELLS ISD ,35.5,100,0
91902,COLLINSVILLE ISD ,65.3,97.4,0
91903,DENISON ISD ,58.6,94.9,1.2
91905,HOWE ISD ,46.8,95.9,0.5
91906,SHERMAN ISD ,75,92.3,1.2
91907,TIOGA ISD ,33.2,100,0
91908,VAN ALSTYNE ISD ,26.5,100,0.2
91909,WHITESBORO ISD ,51.7,99,0
91910,WHITEWRIGHT ISD ,44.4,95.6,0.7
91913,POTTSBORO ISD ,39.2,99.1,0.2
91914,S AND S CISD ,44.9,93.5,0.3
91917,GUNTER ISD ,21.8,98.9,0.6
91918,TOM BEAN ISD ,48.9,100,0
92801,EAST TEXAS CHARTER SCHOOLS ,31.9,97.5,0
92901,GLADEWATER ISD ,74.5,93.5,2
